Tracing "SyS_read" for PID 103696... Ctrl-C to end.
   0)               |  SyS_read() {
   0)   ==========> |
   0)               |    smp_irq_work_interrupt() {
   0)               |      irq_enter() {
   0)   0.317 us    |        rcu_irq_enter();
   0)   1.018 us    |      } /* irq_enter */
   0)               |      __wake_up() {
   0)               |        __wake_up_common_lock() {
   0)   0.257 us    |          _raw_spin_lock_irqsave();
   0)               |          __wake_up_common() {
   0)               |            autoremove_wake_function() {
   0)               |              default_wake_function() {
   0)               |                try_to_wake_up() {
   0)   0.784 us    |                  _raw_spin_lock_irqsave();
   0)               |                  select_task_rq_fair() {
   0)               |                    select_idle_sibling() {
   0)   0.270 us    |                      idle_cpu();
   0)   0.818 us    |                    } /* select_idle_sibling */
   0)   1.561 us    |                  } /* select_task_rq_fair */
   0)   0.253 us    |                  _raw_spin_lock();
   0)   0.268 us    |                  update_rq_clock();
   0)               |                  ttwu_do_activate() {
   0)               |                    activate_task() {
   0)               |                      enqueue_task_fair() {
   0)               |                        enqueue_entity() {
   0)               |                          update_curr() {
   0)   0.278 us    |                            update_min_vruntime();
   0)   1.136 us    |                            cpuacct_charge();
   0)   3.055 us    |                          } /* update_curr */
   0)               |                          __update_load_avg_se.isra.38() {
   0)   0.242 us    |                            decay_load();
   0)   0.250 us    |                            decay_load();
   0)   0.252 us    |                            decay_load();
   0)   0.250 us    |                            __accumulate_pelt_segments();
   0)   2.325 us    |                          } /* __update_load_avg_se.isra.38 */
   0)   0.275 us    |                          update_cfs_group();
   0)   0.347 us    |                          account_entity_enqueue();
   0)   0.267 us    |                          place_entity();
   0)   0.270 us    |                          __enqueue_entity();
   0)   8.396 us    |                        } /* enqueue_entity */
   0)   0.350 us    |                        __update_load_avg_se.isra.38();
   0)               |                        update_cfs_group() {
   0)               |                          reweight_entity() {
   0)               |                            update_curr() {
   0)   0.242 us    |                              update_min_vruntime();
   0)   0.772 us    |                            } /* update_curr */
   0)   0.272 us    |                            account_entity_dequeue();
   0)   0.262 us    |                            account_entity_enqueue();
   0)   2.376 us    |                          } /* reweight_entity */
   0)   3.003 us    |                        } /* update_cfs_group */
   0)   0.244 us    |                        hrtick_update();
   0) + 13.825 us   |                      } /* enqueue_task_fair */
   0) + 14.431 us   |                    } /* activate_task */
   0)               |                    ttwu_do_wakeup() {
   0)               |                      check_preempt_curr() {
   0)               |                        check_preempt_wakeup() {
   0)   0.275 us    |                          update_curr();
   0)   0.280 us    |                          wakeup_preempt_entity.isra.69();
   0)   1.343 us    |                        } /* check_preempt_wakeup */
   0)   2.011 us    |                      } /* check_preempt_curr */
   0)   2.973 us    |                    } /* ttwu_do_wakeup */
   0) + 18.122 us   |                  } /* ttwu_do_activate */
   0)   0.304 us    |                  ttwu_stat();
   0)   0.265 us    |                  _raw_spin_unlock_irqrestore();
   0) + 23.865 us   |                } /* try_to_wake_up */
   0) + 24.351 us   |              } /* default_wake_function */
   0) + 24.866 us   |            } /* autoremove_wake_function */
   0) + 26.084 us   |          } /* __wake_up_common */
   0)   0.258 us    |          _raw_spin_unlock_irqrestore();
   0) + 27.675 us   |        } /* __wake_up_common_lock */
   0) + 28.293 us   |      } /* __wake_up */
   0)               |      irq_exit() {
   0)   0.280 us    |        idle_cpu();
   0)   0.282 us    |        rcu_irq_exit();
   0)   1.308 us    |      } /* irq_exit */
   0) + 33.968 us   |    } /* smp_irq_work_interrupt */
